premise,hypothesis,trigger,trigger1,trigger2,presupposition,gold_label,UID,pairID,paradigmID,section
All ten guys that proved to boast were divorcing.,There are exactly ten guys that proved to boast.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,0e,0,presupposition_all_n_presupposition
All ten guys that proved to boast were divorcing.,There are exactly eleven guys that proved to boast.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,1c,0,presupposition_all_n_presupposition
All ten guys that proved to boast were divorcing.,There are exactly ten senators that proved to boast.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,2n,0,presupposition_all_n_presupposition
All ten guys that proved to boast weren't divorcing.,There are exactly ten guys that proved to boast.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,3e,0,presupposition_all_n_presupposition
All ten guys that proved to boast weren't divorcing.,There are exactly eleven guys that proved to boast.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,4c,0,presupposition_all_n_presupposition
All ten guys that proved to boast weren't divorcing.,There are exactly ten senators that proved to boast.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,5n,0,presupposition_all_n_presupposition
Were all ten guys that proved to boast divorcing?,There are exactly ten guys that proved to boast.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,6e,0,presupposition_all_n_presupposition
Were all ten guys that proved to boast divorcing?,There are exactly eleven guys that proved to boast.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,7c,0,presupposition_all_n_presupposition
Were all ten guys that proved to boast divorcing?,There are exactly ten senators that proved to boast.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,8n,0,presupposition_all_n_presupposition
All ten guys that proved to boast might have been divorcing.,There are exactly ten guys that proved to boast.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,9e,0,presupposition_all_n_presupposition
All ten guys that proved to boast might have been divorcing.,There are exactly eleven guys that proved to boast.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,10c,0,presupposition_all_n_presupposition
All ten guys that proved to boast might have been divorcing.,There are exactly ten senators that proved to boast.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,11n,0,presupposition_all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly ten guys that proved to boast.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,12e,0,presupposition_all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly eleven guys that proved to boast.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,13c,0,presupposition_all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly ten senators that proved to boast.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,14n,0,presupposition_all_n_presupposition
All ten guys that proved to boast weren't divorcing.,All ten guys that proved to boast were divorcing.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,15c,0,presupposition_all_n_presupposition
Were all ten guys that proved to boast divorcing?,All ten guys that proved to boast were divorcing.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,16n,0,presupposition_all_n_presupposition
All ten guys that proved to boast might have been divorcing.,All ten guys that proved to boast were divorcing.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,17n,0,presupposition_all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",All ten guys that proved to boast were divorcing.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,18n,0,presupposition_all_n_presupposition
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,19e,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,20c,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,21n,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,22e,1,presupposition_all_n_presupposition
